2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Cleaning up plugin: ProcessLogBridgePlugin Plugin
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     r, w, _ = self._select(self._readers, self._writers, [], timeout)
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -               ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "C:\Users\DELL\AppData\Local\Python\pythoncore-3.13-64\Lib\selectors.py", line 305, in _select
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     r, w, x = select.select(r, w, w, timeout)
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -               ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - KeyboardInterrupt
2026-07-11 11:17:23 India Standard Time | INFO     | NeuroSanRunner:signal_handler:318 - Running cleanup for plugin: ProcessLogBridgePlugin Plugin
2026-07-11 11:17:23 India Standard Time | INFO     | ProcessLogBridgePlugin:cleanup:87 - [ProcessLogBridgePlugin] Cleaning up
2026-07-11 11:17:23 India Standard Time | INFO     | ProcessLogBridgePlugin:cleanup:89 - [ProcessLogBridgePlugin] Cleanup complete
2026-07-11 11:19:48 India Standard Time | INFO     | ProcessLogBridge:_ensure_root_configured:202 - Runner logging initialized (rich console enabled)
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Loading plugin: ProcessLogBridgePlugin from module: neuro_san_studio.plugins.log_bridge.process_log_bridge_plugin
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Loaded plugin: ProcessLogBridgePlugin Plugin
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Initializing plugin: ProcessLogBridgePlugin Plugin
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - [ProcessLogBridgePlugin] Initializing (PID=8072)
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - [ProcessLogBridgePlugin] Initialized (PID=8072)
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Validating airline_disruption agent network...
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Reading C:\airline-disruption-neuro-san-integrated\.venv\Lib\site-packages\neuro_san\deploy\logging.hocon
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Using Authorizer: neuro_san.internals.authorization.null.always_yes_authorizer.AlwaysYesAuthorizer
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - >>>>>>>>>>>> Enabling MCP service...
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Added agent airline_disruption to allowed http service list
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: ADDED network for agent airline_disruption : 2701912129024
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: HTTP server is running 1 instances on port 8080 with backlog 128
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: HTTP server idle connections timeout: 3600 seconds
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: HTTP server is shutting down after 1002705 requests
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: MCP server is running protocol 2025-06-18
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting StorageWatcher with 5 seconds period
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting RegistryStorageUpdater for ['C:\airline-disruption-neuro-san-integrated\registries\manifest.hocon'] with 5 seconds period
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - {"message": "Registry polling watchdog started on: C:\airline-disruption-neuro-san-integrated\registries for manifest ['C:\\airline-disruption-neuro-san-integrated\\registries\\manifest.hocon'] with polling every 1 sec", "user_id": "None", "Timestamp": "2026-07-11T11:19:58.642508", "source": "HttpServer", "message_type": "Other", "request_id": "None"}
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting TempNetworkStorageUpdater
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting EventWorkMonitor with 0.500000 seconds period
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Waiting for new queues to be added for processing
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting PeriodicEventInitiator with 1.000000 seconds period
2026-07-11 11:19:58 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Found 0 periodic agent interactions
2026-07-11 11:25:44 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Start airline_disruption/streaming_chat
2026-07-11 11:25:44 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - {"message": "Received a airline_disruption.StreamingChat request for 'Analyze airline disruption for flight AA347. Flight status: Delayed Origin: JFK Destination: SEA Affected airport: JFK Disruption reason: Severe Thunderstorm Current delay minutes: 95 Known weather severity: HIGH Coordinate all specialist agents and return the required JSON object only.'", "user_id": "None", "Timestamp": "2026-07-11T11:25:44.115156", "source": "HttpServer", "message_type": "Other", "request_id": "request-1"}
2026-07-11 11:25:44 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Agent network 'airline_disruption' (ID: 2701912129024) used for operation: streaming_chat
2026-07-11 11:28:16 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Calling class airline_tools.WeatherLookup
2026-07-11 11:28:16 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Calling class airline_tools.ForecastLookup
2026-07-11 11:29:29 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Start airline_disruption/streaming_chat
2026-07-11 11:29:29 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - {"message": "Received a airline_disruption.StreamingChat request for 'Analyze airline disruption for flight AA875. Flight status: Cancelled Origin: JFK Destination: BOS Affected airport: JFK Disruption reason: Severe Thunderstorm Current delay minutes: 205 Known weather severity: HIGH Coordinate all specialist agents and return the required JSON object only.'", "user_id": "None", "Timestamp": "2026-07-11T11:29:29.317713", "source": "HttpServer", "message_type": "Other", "request_id": "request-2"}
2026-07-11 11:29:29 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Agent network 'airline_disruption' (ID: 2701912129024) used for operation: streaming_chat
2026-07-11 11:30:46 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Task from orchestrator.weather_agent:RunContextRunnable.invoke_agent_chain was cancelled
2026-07-11 11:30:47 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Task from orchestrator.prediction_agent:RunContextRunnable.invoke_agent_chain was cancelled
2026-07-11 11:30:47 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Task from orchestrator.recovery_agent:RunContextRunnable.invoke_agent_chain was cancelled
2026-07-11 11:30:47 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Task from orchestrator:RunContextRunnable.invoke_agent_chain was cancelled
2026-07-11 11:30:47 India Standard Time | WARNING  | NeuroSan:_log:718 - NeuroSan:HttpServer: Agent 'orchestrator' timed out: exceeded max_execution_seconds=300s and was cancelled.
2026-07-11 11:30:47 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Task 2701914122464/request-1:DataDrivenChatSession.streaming_chat is not present in the tasks table.
2026-07-11 11:30:47 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan: time_taken_in_seconds includes overhead from Langchain and Neuro SAN
2026-07-11 11:30:47 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: {"token_accounting": {"total_tokens": 1037, "prompt_tokens": 843, "completion_tokens": 194, "successful_requests": 2, "empty_responses": 0, "total_cost": 0.0, "time_taken_in_seconds": 300.05314111709595, "caveats": ["External agent token usage is not included.", "Token counts are approximate and estimated using tiktoken."], "models": {"ollama": {"llama3.1:8b": {"total_tokens": 1037, "prompt_tokens": 843, "completion_tokens": 194, "successful_requests": 2, "empty_responses": 0, "total_cost": 0.0, "time_taken_in_seconds": 144.78447484970093}}}}}
2026-07-11 11:30:47 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - {"message": "Done with airline_disruption.StreamingChat request for 'Analyze airline disruption for flight AA347. Flight status: Delayed Origin: JFK Destination: SEA Affected airport: JFK Disruption reason: Severe Thunderstorm Current delay minutes: 95 Known weather severity: HIGH Coordinate all specialist agents and return the required JSON object only.'", "user_id": "None", "Timestamp": "2026-07-11T11:30:47.169034", "source": "HttpServer", "message_type": "Other", "request_id": "request-1"}
2026-07-11 11:30:47 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: 200 POST /api/v1/airline_disruption/streaming_chat (127.0.0.1) 305577.27ms
2026-07-11 11:30:47 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Finish airline_disruption/streaming_chat
2026-07-11 11:30:47 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Stats: {'NumProcessing': 1, 'Total': 1, 'airline_disruption/streaming_chat': 2}
2026-07-11 11:33:01 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Calling class airline_tools.WeatherLookup
2026-07-11 11:33:01 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Calling class airline_tools.ForecastLookup
2026-07-11 11:33:23 India Standard Time | ERROR    | NeuroSan:_log:716 - NeuroSan:HttpServer: Got exception in  RunContextRunnable. Error: Server disconnected without sending a response.
2026-07-11 11:33:24 India Standard Time | ERROR    | NeuroSan:_log:716 - NeuroSan:HttpServer: Got exception in  RunContextRunnable. Error: Server disconnected without sending a response.
2026-07-11 11:33:24 India Standard Time | ERROR    | NeuroSan:_log:716 - NeuroSan:HttpServer: Got exception in  RunContextRunnable. Error: Server disconnected without sending a response.
2026-07-11 11:33:26 India Standard Time | ERROR    | NeuroSan:_log:716 - NeuroSan:HttpServer: Got exception in  RunContextRunnable. Error: All connection attempts failed
2026-07-11 11:33:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan: time_taken_in_seconds includes overhead from Langchain and Neuro SAN
2026-07-11 11:33:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: {"token_accounting": {"total_tokens": 1299, "prompt_tokens": 1069, "completion_tokens": 230, "successful_requests": 3, "empty_responses": 0, "total_cost": 0.0, "time_taken_in_seconds": 235.09156608581543, "caveats": ["External agent token usage is not included.", "Token counts are approximate and estimated using tiktoken."], "models": {"ollama": {"llama3.1:8b": {"total_tokens": 1299, "prompt_tokens": 1069, "completion_tokens": 230, "successful_requests": 3, "empty_responses": 0, "total_cost": 0.0, "time_taken_in_seconds": 221.66504168510437}}}}}
2026-07-11 11:33:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - {"message": "Done with airline_disruption.StreamingChat request for 'Analyze airline disruption for flight AA875. Flight status: Cancelled Origin: JFK Destination: BOS Affected airport: JFK Disruption reason: Severe Thunderstorm Current delay minutes: 205 Known weather severity: HIGH Coordinate all specialist agents and return the required JSON object only.'", "user_id": "None", "Timestamp": "2026-07-11T11:33:26.284992", "source": "HttpServer", "message_type": "Other", "request_id": "request-2"}
2026-07-11 11:33:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: 200 POST /api/v1/airline_disruption/streaming_chat (127.0.0.1) 236980.57ms
2026-07-11 11:33:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Finish airline_disruption/streaming_chat
2026-07-11 11:33:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Stats: {'NumProcessing': 0, 'Total': 2, 'airline_disruption/streaming_chat': 2}
2026-07-11 11:45:03 India Standard Time | INFO     | ProcessLogBridge:_ensure_root_configured:202 - Runner logging initialized (rich console enabled)
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Loading plugin: ProcessLogBridgePlugin from module: neuro_san_studio.plugins.log_bridge.process_log_bridge_plugin
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Loaded plugin: ProcessLogBridgePlugin Plugin
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Initializing plugin: ProcessLogBridgePlugin Plugin
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - [ProcessLogBridgePlugin] Initializing (PID=7352)
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - [ProcessLogBridgePlugin] Initialized (PID=7352)
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Validating airline_disruption agent network...
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Reading C:\airline-disruption-neuro-san-integrated\.venv\Lib\site-packages\neuro_san\deploy\logging.hocon
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Using Authorizer: neuro_san.internals.authorization.null.always_yes_authorizer.AlwaysYesAuthorizer
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - >>>>>>>>>>>> Enabling MCP service...
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Added agent airline_disruption to allowed http service list
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: ADDED network for agent airline_disruption : 2447182347776
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: HTTP server is running 1 instances on port 8080 with backlog 128
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: HTTP server idle connections timeout: 3600 seconds
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: HTTP server is shutting down after 929083 requests
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: MCP server is running protocol 2025-06-18
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting StorageWatcher with 5 seconds period
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting RegistryStorageUpdater for ['C:\airline-disruption-neuro-san-integrated\registries\manifest.hocon'] with 5 seconds period
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - {"message": "Registry polling watchdog started on: C:\airline-disruption-neuro-san-integrated\registries for manifest ['C:\\airline-disruption-neuro-san-integrated\\registries\\manifest.hocon'] with polling every 1 sec", "user_id": "None", "Timestamp": "2026-07-11T11:45:12.363966", "source": "HttpServer", "message_type": "Other", "request_id": "None"}
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting TempNetworkStorageUpdater
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting EventWorkMonitor with 0.500000 seconds period
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Waiting for new queues to be added for processing
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting PeriodicEventInitiator with 1.000000 seconds period
2026-07-11 11:45:12 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Found 0 periodic agent interactions
2026-07-11 11:48:16 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Start airline_disruption/streaming_chat
2026-07-11 11:48:16 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - {"message": "Received a airline_disruption.StreamingChat request for 'Analyze airline disruption for flight AA875. Flight status: Cancelled Origin: JFK Destination: BOS Affected airport: JFK Disruption reason: Severe Thunderstorm Current delay minutes: 205 Known weather severity: HIGH Coordinate all specialist agents and return the required JSON object only.'", "user_id": "None", "Timestamp": "2026-07-11T11:48:16.725313", "source": "HttpServer", "message_type": "Other", "request_id": "request-1"}
2026-07-11 11:48:16 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Agent network 'airline_disruption' (ID: 2447182347776) used for operation: streaming_chat
2026-07-11 11:48:21 India Standard Time | ERROR    | NeuroSan:_log:716 - NeuroSan:HttpServer: Got exception in  RunContextRunnable. Error: All connection attempts failed
2026-07-11 11:48:21 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan: time_taken_in_seconds includes overhead from Langchain and Neuro SAN
2026-07-11 11:48:21 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: {"token_accounting": {"time_taken_in_seconds": 2.0973334312438965, "caveats": ["External agent token usage is not included.", "Token counts are approximate and estimated using tiktoken."], "models": {}}}
2026-07-11 11:48:21 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - {"message": "Done with airline_disruption.StreamingChat request for 'Analyze airline disruption for flight AA875. Flight status: Cancelled Origin: JFK Destination: BOS Affected airport: JFK Disruption reason: Severe Thunderstorm Current delay minutes: 205 Known weather severity: HIGH Coordinate all specialist agents and return the required JSON object only.'", "user_id": "None", "Timestamp": "2026-07-11T11:48:21.412894", "source": "HttpServer", "message_type": "Other", "request_id": "request-1"}
2026-07-11 11:48:21 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: 200 POST /api/v1/airline_disruption/streaming_chat (127.0.0.1) 7111.66ms
2026-07-11 11:48:21 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Finish airline_disruption/streaming_chat
2026-07-11 11:48:21 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Stats: {'NumProcessing': 0, 'Total': 1, 'airline_disruption/streaming_chat': 1}
2026-07-11 12:02:16 India Standard Time | INFO     | ProcessLogBridge:_ensure_root_configured:202 - Runner logging initialized (rich console enabled)
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Loading plugin: ProcessLogBridgePlugin from module: neuro_san_studio.plugins.log_bridge.process_log_bridge_plugin
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Loaded plugin: ProcessLogBridgePlugin Plugin
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Initializing plugin: ProcessLogBridgePlugin Plugin
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - [ProcessLogBridgePlugin] Initializing (PID=29308)
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - [ProcessLogBridgePlugin] Initialized (PID=29308)
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Validating airline_disruption agent network...
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - Reading C:\airline-disruption-neuro-san-integrated\.venv\Lib\site-packages\neuro_san\deploy\logging.hocon
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Using Authorizer: neuro_san.internals.authorization.null.always_yes_authorizer.AlwaysYesAuthorizer
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - >>>>>>>>>>>> Enabling MCP service...
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Added agent airline_disruption to allowed http service list
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: ADDED network for agent airline_disruption : 2427096350208
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: HTTP server is running 1 instances on port 8080 with backlog 128
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: HTTP server idle connections timeout: 3600 seconds
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: HTTP server is shutting down after 1069050 requests
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: MCP server is running protocol 2025-06-18
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting StorageWatcher with 5 seconds period
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting RegistryStorageUpdater for ['C:\airline-disruption-neuro-san-integrated\registries\manifest.hocon'] with 5 seconds period
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - {"message": "Registry polling watchdog started on: C:\airline-disruption-neuro-san-integrated\registries for manifest ['C:\\airline-disruption-neuro-san-integrated\\registries\\manifest.hocon'] with polling every 1 sec", "user_id": "None", "Timestamp": "2026-07-11T12:02:26.953246", "source": "HttpServer", "message_type": "Other", "request_id": "None"}
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting TempNetworkStorageUpdater
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting EventWorkMonitor with 0.500000 seconds period
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Waiting for new queues to be added for processing
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Starting PeriodicEventInitiator with 1.000000 seconds period
2026-07-11 12:02:26 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Found 0 periodic agent interactions
2026-07-11 12:02:53 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Start airline_disruption/streaming_chat
2026-07-11 12:02:53 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan - {"message": "Received a airline_disruption.StreamingChat request for 'Analyze airline disruption for flight AA875. Flight status: Cancelled Origin: JFK Destination: BOS Affected airport: JFK Disruption reason: Severe Thunderstorm Current delay minutes: 205 Known weather severity: HIGH Coordinate all specialist agents and return the required JSON object only.'", "user_id": "None", "Timestamp": "2026-07-11T12:02:53.538645", "source": "HttpServer", "message_type": "Other", "request_id": "request-1"}
2026-07-11 12:02:53 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Agent network 'airline_disruption' (ID: 2427096350208) used for operation: streaming_chat
